REPORT_DATE,CUSTOMER_ID,SERVICE_ID,SERVICE_NAME,SUBSCRIPTION_STATUS
2/1/2023,60503592,4396670464,plan 6,active
2/1/2023,60547092,4253404219,plan 2,active
2/1/2023,60633036,4429676024,plan 4,active
2/1/2023,60640337,4321846223,plan 4,active
2/1/2023,60640337,4321846962,plan 4,active
2/1/2023,60640337,4321850733,plan 4,active
2/1/2023,60640337,4334355167,plan 4,active
2/1/2023,60652755,4402771415,plan 4,active
2/1/2023,60654382,4365209666,plan 2,active
2/1/2023,60656869,4443574427,plan 4,active
2/1/2023,60708695,4481091739,plan 4,active
2/1/2023,60727608,4253041661,plan 6,active
2/1/2023,60739158,4303164071,plan 4,active
2/1/2023,60993678,4419338675,plan 4,active
2/1/2023,60996351,4409127820,plan 4,active
2/1/2023,60999850,4280374723,plan 4,active
2/1/2023,61050555,4382801334,plan 4,active
2/1/2023,61050555,4382809049,plan 4,active
2/1/2023,61146856,4454268892,plan 4,active
2/1/2023,61147382,4256777043,plan 4,active
2/1/2023,61161403,4261297700,plan 2,active
2/1/2023,61182132,4271061206,plan 2,active
2/1/2023,61200068,4284773403,plan 4,active
2/1/2023,61224507,4297976346,plan 4,active
2/1/2023,61229713,4302469905,plan 4,active
2/1/2023,734164,4354067020,plan 4,active
2/1/2023,750184,4378322774,plan 4,active
2/1/2023,773884,4399899864,plan 4,active
2/1/2023,793958,4429273124,plan 4,active
2/1/2023,813354,4488049299,plan 4,active
3/1/2023,60026066,4406868160,plan 4,active
3/1/2023,60027002,4255233448,plan 4,active
3/1/2023,60034217,4442372173,plan 4,active
3/1/2023,60053389,4375744465,plan 4,active
3/1/2023,60082320,4383511050,plan 4,active
3/1/2023,60086737,4459751470,plan 4,active
3/1/2023,60095358,4404231632,plan 4,active
3/1/2023,60128263,4335500641,plan 4,active
3/1/2023,60177649,4294361484,plan 4,active
3/1/2023,60177649,4394139825,plan 4,active
3/1/2023,60180497,4260478873,plan 2,active
3/1/2023,60182668,4396049600,plan 4,active
3/1/2023,60185204,4284992070,plan 4,active
3/1/2023,60190048,4291651196,plan 4,active
3/1/2023,60196265,4366809190,plan 2,active
3/1/2023,60210789,4465550619,plan 4,active
3/1/2023,60231169,4284563427,plan 4,active
3/1/2023,60249741,4337419607,plan 2,active
3/1/2023,60249741,4341495207,plan 2,active
3/1/2023,60275431,4260083925,plan 2,active
3/1/2023,60283481,4465899061,plan 4,active
3/1/2023,60286846,4253119682,plan 4,active
3/1/2023,60293793,4328537262,plan 2,active
3/1/2023,60305250,4368272881,plan 4,active
3/1/2023,60314129,4449198930,plan 4,active
3/1/2023,60325890,4302859921,plan 4,active
3/1/2023,60334578,4376156312,plan 4,active
3/1/2023,60352131,4357582789,plan 4,active
3/1/2023,60362304,4361328179,plan 4,active
3/1/2023,60371935,4488061108,plan 4,active
3/1/2023,60371935,4490866771,plan 4,active
3/1/2023,60420766,4300872558,plan 6,active
3/1/2023,60424203,4350426559,plan 4,active
3/1/2023,60431594,4470173512,plan 4,active
3/1/2023,60448091,4443612525,plan 4,active
3/1/2023,60451854,4288564100,plan 2,active
3/1/2023,60468503,4464162978,plan 4,active
3/1/2023,60502765,4368119137,plan 2,active
3/1/2023,60503592,4396670464,plan 6,active
3/1/2023,60547092,4253404219,plan 2,active
3/1/2023,60633036,4429676024,plan 4,active
3/1/2023,60640337,4321846223,plan 4,active
3/1/2023,60640337,4321846962,plan 4,active
3/1/2023,60640337,4321850733,plan 4,active
3/1/2023,60640337,4334355167,plan 4,active
3/1/2023,60652755,4402771415,plan 4,active
3/1/2023,60654382,4365209666,plan 2,active
3/1/2023,60656869,4443574427,plan 4,active
3/1/2023,60708695,4481091739,plan 4,active
3/1/2023,60727608,4253041661,plan 6,active
3/1/2023,60739158,4303164071,plan 4,active
3/1/2023,60993678,4419338675,plan 4,active
3/1/2023,60996351,4409127820,plan 4,active
3/1/2023,60999850,4280374723,plan 4,active
3/1/2023,61050555,4382801334,plan 4,active
3/1/2023,61050555,4382809049,plan 4,active
3/1/2023,61146856,4454268892,plan 4,active
3/1/2023,61147382,4256777043,plan 4,active
3/1/2023,61161403,4261297700,plan 2,active
3/1/2023,61182132,4271061206,plan 2,active
3/1/2023,61200068,4284773403,plan 4,active
3/1/2023,61224507,4297976346,plan 4,active
3/1/2023,61229713,4302469905,plan 4,active
3/1/2023,734164,4354067020,plan 4,active
3/1/2023,750184,4378322774,plan 4,active
3/1/2023,773884,4399899864,plan 4,active
3/1/2023,793958,4429273124,plan 4,active
3/1/2023,813354,4488049299,plan 4,active
4/1/2023,60026066,4406868160,plan 4,active
4/1/2023,60027002,4255233448,plan 4,active
4/1/2023,60034217,4442372173,plan 4,active
4/1/2023,60053389,4375744465,plan 4,active
4/1/2023,60082320,4383511050,plan 4,active
4/1/2023,60086737,4459751470,plan 4,active
4/1/2023,60095358,4404231632,plan 4,active
4/1/2023,60128263,4335500641,plan 4,active
4/1/2023,60177649,4294361484,plan 4,active
4/1/2023,60177649,4394139825,plan 4,active
4/1/2023,60180497,4260478873,plan 2,active
4/1/2023,60182668,4396049600,plan 4,active
4/1/2023,60185204,4284992070,plan 4,active
4/1/2023,60190048,4291651196,plan 4,active
4/1/2023,60196265,4366809190,plan 2,active
4/1/2023,60210789,4465550619,plan 4,active
4/1/2023,60231169,4284563427,plan 4,active
4/1/2023,60249741,4337419607,plan 2,active
4/1/2023,60249741,4341495207,plan 2,active
4/1/2023,60275431,4260083925,plan 2,active
4/1/2023,60283481,4465899061,plan 4,active
4/1/2023,60286846,4253119682,plan 4,active
4/1/2023,60293793,4328537262,plan 2,active
4/1/2023,60305250,4368272881,plan 4,active
4/1/2023,60314129,4449198930,plan 4,active
4/1/2023,60325890,4302859921,plan 4,active
4/1/2023,60334578,4376156312,plan 4,active
4/1/2023,60352131,4357582789,plan 4,active
4/1/2023,60362304,4361328179,plan 4,active
4/1/2023,60371935,4488061108,plan 4,active
4/1/2023,60371935,4490866771,plan 4,active
4/1/2023,60420766,4300872558,plan 6,active
4/1/2023,60424203,4350426559,plan 4,active
4/1/2023,60431594,4470173512,plan 4,active
4/1/2023,60448091,4443612525,plan 4,active
4/1/2023,60451854,4288564100,plan 2,active
4/1/2023,60468503,4464162978,plan 4,active
4/1/2023,60502765,4368119137,plan 2,active
4/1/2023,60503592,4396670464,plan 6,active
4/1/2023,60547092,4253404219,plan 2,active
4/1/2023,60633036,4429676024,plan 4,active
4/1/2023,60640337,4321846223,plan 4,active
4/1/2023,60640337,4321846962,plan 4,active
4/1/2023,60640337,4321850733,plan 4,active
4/1/2023,60640337,4334355167,plan 4,active
4/1/2023,60652755,4402771415,plan 4,active
4/1/2023,60654382,4365209666,plan 2,active
4/1/2023,60656869,4443574427,plan 4,active
4/1/2023,60708695,4481091739,plan 4,active
4/1/2023,60727608,4253041661,plan 6,active
4/1/2023,60739158,4303164071,plan 4,active
4/1/2023,60993678,4419338675,plan 4,active
4/1/2023,60996351,4409127820,plan 4,active
4/1/2023,60999850,4280374723,plan 4,active
4/1/2023,61050555,4382801334,plan 4,active
4/1/2023,61050555,4382809049,plan 4,active
4/1/2023,61146856,4454268892,plan 4,active
4/1/2023,61147382,4256777043,plan 4,active
4/1/2023,61161403,4261297700,plan 2,active
4/1/2023,61182132,4271061206,plan 2,active
4/1/2023,61200068,4284773403,plan 4,active
4/1/2023,61224507,4297976346,plan 4,active
4/1/2023,61229713,4302469905,plan 4,active
4/1/2023,734164,4354067020,plan 4,active
4/1/2023,750184,4378322774,plan 4,active
4/1/2023,773884,4399899864,plan 4,active
4/1/2023,793958,4429273124,plan 4,active
4/1/2023,813354,4488049299,plan 4,active
5/1/2023,60026066,4406868160,plan 4,active
5/1/2023,60027002,4255233448,plan 4,active
5/1/2023,60034217,4442372173,plan 4,active
5/1/2023,60053389,4375744465,plan 4,active
5/1/2023,60082320,4383511050,plan 4,active
5/1/2023,60086737,4459751470,plan 4,active
5/1/2023,60095358,4404231632,plan 4,active
5/1/2023,60128263,4335500641,plan 4,active
5/1/2023,60177649,4294361484,plan 4,active
5/1/2023,60177649,4394139825,plan 4,active
5/1/2023,60180497,4260478873,plan 2,active
5/1/2023,60182668,4396049600,plan 4,active
5/1/2023,60185204,4284992070,plan 4,active
5/1/2023,60190048,4291651196,plan 4,active
5/1/2023,60196265,4366809190,plan 2,active
5/1/2023,60210789,4465550619,plan 4,active
5/1/2023,60231169,4284563427,plan 4,active
5/1/2023,60249741,4337419607,plan 2,active
5/1/2023,60249741,4341495207,plan 2,active
5/1/2023,60275431,4260083925,plan 2,active
5/1/2023,60283481,4465899061,plan 4,active
5/1/2023,60286846,4253119682,plan 4,active
5/1/2023,60293793,4328537262,plan 2,active
5/1/2023,60305250,4368272881,plan 4,active
5/1/2023,60314129,4449198930,plan 4,active
5/1/2023,60325890,4302859921,plan 4,active
5/1/2023,60334578,4376156312,plan 4,active
5/1/2023,60352131,4357582789,plan 4,active
5/1/2023,60362304,4361328179,plan 4,active
5/1/2023,60371935,4488061108,plan 4,active
5/1/2023,60371935,4490866771,plan 4,active
5/1/2023,60420766,4300872558,plan 6,active
5/1/2023,60424203,4350426559,plan 4,active
5/1/2023,60431594,4470173512,plan 4,active
5/1/2023,60448091,4443612525,plan 4,active
5/1/2023,60451854,4288564100,plan 2,active
5/1/2023,60468503,4464162978,plan 4,active
5/1/2023,60502765,4368119137,plan 2,active
5/1/2023,60503592,4396670464,plan 6,active
5/1/2023,60547092,4253404219,plan 2,active
5/1/2023,60633036,4429676024,plan 4,active
5/1/2023,60640337,4321846223,plan 4,active
5/1/2023,60640337,4321846962,plan 4,active
5/1/2023,60640337,4321850733,plan 4,active
5/1/2023,60640337,4334355167,plan 4,active
5/1/2023,60652755,4402771415,plan 4,active
5/1/2023,60654382,4365209666,plan 2,active
5/1/2023,60656869,4443574427,plan 4,active
5/1/2023,60708695,4481091739,plan 4,active
5/1/2023,60727608,4253041661,plan 6,active
5/1/2023,60739158,4303164071,plan 4,active
5/1/2023,60993678,4419338675,plan 4,active
5/1/2023,60996351,4409127820,plan 4,active
5/1/2023,60999850,4280374723,plan 4,active
5/1/2023,61037872,4517686764,plan 4,active
5/1/2023,61050555,4382801334,plan 4,active
5/1/2023,61050555,4382809049,plan 4,active
5/1/2023,61146856,4454268892,plan 4,active
5/1/2023,61147382,4256777043,plan 4,active
5/1/2023,61161403,4261297700,plan 2,active
5/1/2023,61182132,4271061206,plan 2,active
5/1/2023,61200068,4284773403,plan 4,active
5/1/2023,61224507,4297976346,plan 4,active
5/1/2023,61229713,4302469905,plan 4,active
5/1/2023,734164,4354067020,plan 4,active
5/1/2023,750184,4378322774,plan 4,active
5/1/2023,773884,4399899864,plan 4,active
5/1/2023,793958,4429273124,plan 4,active
5/1/2023,813354,4488049299,plan 4,active
6/1/2023,60026066,4406868160,plan 4,active
6/1/2023,60027002,4255233448,plan 4,active
6/1/2023,60034217,4442372173,plan 4,active
6/1/2023,60053389,4375744465,plan 4,active
6/1/2023,60082320,4383511050,plan 4,active
6/1/2023,60086737,4459751470,plan 4,active
6/1/2023,60095358,4404231632,plan 4,active
6/1/2023,60128263,4335500641,plan 4,active
6/1/2023,60177649,4294361484,plan 4,active
6/1/2023,60177649,4394139825,plan 4,active
6/1/2023,60180497,4260478873,plan 2,active
6/1/2023,60182668,4396049600,plan 4,active
6/1/2023,60185204,4284992070,plan 4,active
6/1/2023,60190048,4291651196,plan 4,active
6/1/2023,60196265,4366809190,plan 2,active
6/1/2023,60210789,4465550619,plan 4,active
6/1/2023,60231169,4284563427,plan 4,active
6/1/2023,60249741,4337419607,plan 2,active
6/1/2023,60249741,4341495207,plan 2,active
6/1/2023,60275431,4260083925,plan 2,active
6/1/2023,60283481,4465899061,plan 4,active
6/1/2023,60286846,4253119682,plan 4,active
6/1/2023,60293793,4328537262,plan 2,active
6/1/2023,60305250,4368272881,plan 4,active
6/1/2023,60314129,4449198930,plan 4,active
6/1/2023,60325890,4302859921,plan 4,active
6/1/2023,60334578,4376156312,plan 4,active
6/1/2023,60352131,4357582789,plan 4,active
6/1/2023,60362304,4361328179,plan 4,active
6/1/2023,60371935,4488061108,plan 4,active
6/1/2023,60371935,4490866771,plan 4,active
6/1/2023,60420766,4300872558,plan 6,active
6/1/2023,60424203,4350426559,plan 4,active
6/1/2023,60431594,4470173512,plan 4,active
6/1/2023,60448091,4443612525,plan 4,active
6/1/2023,60451854,4288564100,plan 2,active
6/1/2023,60468503,4464162978,plan 4,active
6/1/2023,60502765,4368119137,plan 2,active
6/1/2023,60503592,4396670464,plan 6,active
6/1/2023,60547092,4253404219,plan 2,active
6/1/2023,60633036,4429676024,plan 4,active
6/1/2023,60640337,4321846223,plan 4,active
6/1/2023,60640337,4321846962,plan 4,active
6/1/2023,60640337,4321850733,plan 4,active
6/1/2023,60640337,4334355167,plan 4,active
6/1/2023,60652755,4402771415,plan 4,active
6/1/2023,60654382,4365209666,plan 2,active
6/1/2023,60656869,4443574427,plan 4,active
6/1/2023,60708695,4481091739,plan 4,active
6/1/2023,60727608,4253041661,plan 6,active
6/1/2023,60739158,4303164071,plan 4,active
6/1/2023,60993678,4419338675,plan 4,active
6/1/2023,60996351,4409127820,plan 4,active
6/1/2023,60999850,4280374723,plan 4,active
6/1/2023,61037872,4517686764,plan 4,active
6/1/2023,61050555,4382801334,plan 4,active
6/1/2023,61050555,4382809049,plan 4,active
6/1/2023,61146856,4454268892,plan 4,active
6/1/2023,61147382,4256777043,plan 4,active
6/1/2023,61161403,4261297700,plan 2,active
6/1/2023,61182132,4271061206,plan 2,active
6/1/2023,61200068,4284773403,plan 4,active
6/1/2023,61224507,4297976346,plan 4,active
6/1/2023,61229713,4302469905,plan 4,active
6/1/2023,734164,4354067020,plan 4,active
6/1/2023,750184,4378322774,plan 4,active
6/1/2023,773884,4399899864,plan 4,active
6/1/2023,793958,4429273124,plan 4,active
6/1/2023,813354,4488049299,plan 4,active
7/1/2023,60026066,4406868160,plan 4,active
7/1/2023,60027002,4255233448,plan 4,active
7/1/2023,60034217,4442372173,plan 4,active
7/1/2023,60053389,4375744465,plan 4,active
7/1/2023,60082320,4383511050,plan 4,active
7/1/2023,60086737,4459751470,plan 4,active
7/1/2023,60095358,4404231632,plan 4,active
7/1/2023,60128263,4335500641,plan 4,active
7/1/2023,60177649,4294361484,plan 4,active
7/1/2023,60177649,4394139825,plan 4,active
7/1/2023,60180497,4260478873,plan 2,active
7/1/2023,60182668,4396049600,plan 4,active
7/1/2023,60185204,4284992070,plan 4,active
7/1/2023,60190048,4291651196,plan 4,active
7/1/2023,60196265,4366809190,plan 2,active
7/1/2023,60210789,4465550619,plan 4,active
7/1/2023,60231169,4284563427,plan 4,active
7/1/2023,60249741,4337419607,plan 2,active
7/1/2023,60249741,4341495207,plan 2,active
7/1/2023,60275431,4260083925,plan 2,active
7/1/2023,60283481,4465899061,plan 4,active
7/1/2023,60286846,4253119682,plan 4,active
7/1/2023,60293793,4328537262,plan 2,active
7/1/2023,60305250,4368272881,plan 4,active
7/1/2023,60314129,4449198930,plan 4,active
7/1/2023,60325890,4302859921,plan 4,active
7/1/2023,60334578,4376156312,plan 4,active
7/1/2023,60352131,4357582789,plan 4,active
7/1/2023,60362304,4361328179,plan 4,active
7/1/2023,60371935,4488061108,plan 4,active
7/1/2023,60371935,4490866771,plan 4,active
7/1/2023,60420766,4300872558,plan 6,active
7/1/2023,60424203,4350426559,plan 4,active
7/1/2023,60431594,4470173512,plan 4,active
7/1/2023,60448091,4443612525,plan 4,active
7/1/2023,60451854,4288564100,plan 2,active
7/1/2023,60468503,4464162978,plan 4,active
7/1/2023,60502765,4368119137,plan 2,active
7/1/2023,60503592,4396670464,plan 6,active
7/1/2023,60547092,4253404219,plan 2,active
7/1/2023,60633036,4429676024,plan 4,active
7/1/2023,60640337,4321846223,plan 4,active
7/1/2023,60640337,4321846962,plan 4,active
7/1/2023,60640337,4321850733,plan 4,active
7/1/2023,60640337,4334355167,plan 4,active
7/1/2023,60652755,4402771415,plan 4,active
7/1/2023,60654382,4365209666,plan 2,active
7/1/2023,60656869,4443574427,plan 4,active
7/1/2023,60708695,4481091739,plan 4,active
7/1/2023,60727608,4253041661,plan 6,active
7/1/2023,60739158,4303164071,plan 4,active
7/1/2023,60993678,4419338675,plan 4,active
7/1/2023,60996351,4409127820,plan 4,active
7/1/2023,60999850,4280374723,plan 4,active
7/1/2023,61037872,4517686764,plan 4,active
7/1/2023,61050555,4382801334,plan 4,active
7/1/2023,61050555,4382809049,plan 4,active
7/1/2023,61146856,4454268892,plan 4,active
7/1/2023,61147382,4256777043,plan 4,active
7/1/2023,61161403,4261297700,plan 2,active
7/1/2023,61182132,4271061206,plan 2,active
7/1/2023,61200068,4284773403,plan 4,active
7/1/2023,61224507,4297976346,plan 4,active
7/1/2023,61229713,4302469905,plan 4,active
7/1/2023,734164,4354067020,plan 4,active
7/1/2023,750184,4378322774,plan 4,active
7/1/2023,773884,4399899864,plan 4,active
7/1/2023,793958,4429273124,plan 4,active
7/1/2023,813354,4488049299,plan 4,active
8/1/2023,60026066,4406868160,plan 4,active
8/1/2023,60027002,4255233448,plan 4,active
8/1/2023,60034217,4442372173,plan 4,active
8/1/2023,60053389,4375744465,plan 4,active
8/1/2023,60082320,4383511050,plan 4,active
8/1/2023,60086737,4459751470,plan 4,active
8/1/2023,60095358,4404231632,plan 4,active
8/1/2023,60128263,4335500641,plan 4,active
8/1/2023,60177649,4294361484,plan 4,active
8/1/2023,60177649,4394139825,plan 4,active
8/1/2023,60180497,4260478873,plan 2,active
8/1/2023,60182668,4396049600,plan 4,active
8/1/2023,60185204,4284992070,plan 4,active
8/1/2023,60190048,4291651196,plan 4,active
8/1/2023,60196265,4366809190,plan 2,active
8/1/2023,60210789,4465550619,plan 4,active
8/1/2023,60231169,4284563427,plan 4,active
8/1/2023,60249741,4337419607,plan 2,active
8/1/2023,60249741,4341495207,plan 2,active
8/1/2023,60275431,4260083925,plan 2,active
8/1/2023,60283481,4465899061,plan 4,active
8/1/2023,60286846,4253119682,plan 4,active
8/1/2023,60293793,4328537262,plan 2,active
8/1/2023,60305250,4368272881,plan 4,active
8/1/2023,60314129,4449198930,plan 4,active
8/1/2023,60325890,4302859921,plan 4,active
8/1/2023,60334578,4376156312,plan 4,active
8/1/2023,60352131,4357582789,plan 4,active
8/1/2023,60362304,4361328179,plan 4,active
8/1/2023,60371935,4488061108,plan 4,active
8/1/2023,60371935,4490866771,plan 4,active
8/1/2023,60420766,4300872558,plan 6,active
8/1/2023,60424203,4350426559,plan 4,active
8/1/2023,60431594,4470173512,plan 4,active
8/1/2023,60448091,4443612525,plan 4,active
8/1/2023,60451854,4288564100,plan 2,active
8/1/2023,60468503,4464162978,plan 4,active
8/1/2023,60502765,4368119137,plan 2,active
8/1/2023,60503592,4396670464,plan 6,active
8/1/2023,60547092,4253404219,plan 2,active
8/1/2023,60633036,4429676024,plan 4,active
8/1/2023,60640337,4321846223,plan 4,active
8/1/2023,60640337,4321846962,plan 4,active
8/1/2023,60640337,4321850733,plan 4,active
8/1/2023,60640337,4334355167,plan 4,active
8/1/2023,60652755,4402771415,plan 4,active
8/1/2023,60654382,4365209666,plan 2,active
8/1/2023,60656869,4443574427,plan 4,active
8/1/2023,60708695,4481091739,plan 4,active
8/1/2023,60727608,4253041661,plan 6,active
8/1/2023,60739158,4303164071,plan 4,active
8/1/2023,60993678,4419338675,plan 4,active
8/1/2023,60996351,4409127820,plan 4,active
8/1/2023,60999850,4280374723,plan 4,active
8/1/2023,61037872,4517686764,plan 4,active
8/1/2023,61050555,4382801334,plan 4,active
8/1/2023,61050555,4382809049,plan 4,active
8/1/2023,61146856,4454268892,plan 4,active
8/1/2023,61147382,4256777043,plan 4,active
8/1/2023,61161403,4261297700,plan 2,active
8/1/2023,61182132,4271061206,plan 2,active
8/1/2023,61200068,4284773403,plan 4,active
8/1/2023,61224507,4297976346,plan 4,active
8/1/2023,61229713,4302469905,plan 4,active
8/1/2023,734164,4354067020,plan 4,active
8/1/2023,750184,4378322774,plan 4,active
8/1/2023,773884,4399899864,plan 4,active
8/1/2023,793958,4429273124,plan 4,active
8/1/2023,813354,4488049299,plan 4,active
9/1/2023,60026066,4406868160,plan 4,active
9/1/2023,60027002,4255233448,plan 4,active
9/1/2023,60034217,4442372173,plan 4,active
9/1/2023,60053389,4375744465,plan 4,active
9/1/2023,60082320,4383511050,plan 4,active
9/1/2023,60086737,4459751470,plan 4,active
9/1/2023,60095358,4404231632,plan 4,active
9/1/2023,60128263,4335500641,plan 4,active
9/1/2023,60177649,4294361484,plan 4,active
9/1/2023,60177649,4394139825,plan 4,active
9/1/2023,60180497,4260478873,plan 2,active
9/1/2023,60182668,4396049600,plan 4,active
9/1/2023,60185204,4284992070,plan 4,active
9/1/2023,60190048,4291651196,plan 4,active
9/1/2023,60196265,4366809190,plan 2,active
9/1/2023,60210789,4465550619,plan 4,active
9/1/2023,60231169,4284563427,plan 4,active
9/1/2023,60249741,4337419607,plan 2,active
9/1/2023,60249741,4341495207,plan 2,active
9/1/2023,60275431,4260083925,plan 2,active
9/1/2023,60283481,4465899061,plan 4,active
9/1/2023,60286846,4253119682,plan 4,active
9/1/2023,60293793,4328537262,plan 2,active
9/1/2023,60305250,4368272881,plan 4,active
9/1/2023,60314129,4449198930,plan 4,active
9/1/2023,60325890,4302859921,plan 4,active
9/1/2023,60334578,4376156312,plan 4,active
9/1/2023,60352131,4357582789,plan 4,active
9/1/2023,60362304,4361328179,plan 4,active
9/1/2023,60371935,4488061108,plan 4,active
9/1/2023,60371935,4490866771,plan 4,active
9/1/2023,60420043,4524087388,plan 4,active
9/1/2023,60420766,4300872558,plan 6,active
9/1/2023,60424203,4350426559,plan 4,active
9/1/2023,60431594,4470173512,plan 4,active
9/1/2023,60448091,4443612525,plan 4,active
9/1/2023,60451854,4288564100,plan 2,active
9/1/2023,60468503,4464162978,plan 4,active
9/1/2023,60502765,4368119137,plan 2,active
9/1/2023,60503592,4396670464,plan 6,active
9/1/2023,60547092,4253404219,plan 2,active
9/1/2023,60633036,4429676024,plan 4,active
9/1/2023,60640337,4321846223,plan 4,active
9/1/2023,60640337,4321846962,plan 4,active
9/1/2023,60640337,4321850733,plan 4,active
9/1/2023,60640337,4334355167,plan 4,active
9/1/2023,60652755,4402771415,plan 4,active
9/1/2023,60654382,4365209666,plan 2,active
9/1/2023,60656869,4443574427,plan 4,active
9/1/2023,60708695,4481091739,plan 4,active
9/1/2023,60727608,4253041661,plan 6,active
9/1/2023,60739158,4303164071,plan 4,active
9/1/2023,60993678,4419338675,plan 4,active
9/1/2023,60996351,4409127820,plan 4,active
9/1/2023,60999850,4280374723,plan 4,active
9/1/2023,61037872,4517686764,plan 4,active
9/1/2023,61050555,4382801334,plan 4,active
