"REPORT_DATE","SERVICE_ID","ORDER_TYPE","ORDER_TYPE_L2"
2023-02-25,"4615071708",sign up,new
2023-02-26,"4613987118",sign up,new
2023-02-27,"4618423179",sign up,new
2023-02-27,"4618654620",sign up,new
2023-02-27,"4619185991",sign up,transfer
2023-02-28,"4620781891",sign up,new
2023-02-28,"4621144180",sign up,new
2023-02-28,"4622386886",sign up,new
2023-02-28,"4622707496",sign up,transfer
2023-02-28,"4623026946",sign up,new
2023-02-28,"4624232786",sign up,new
2023-02-28,"4624682321",sign up,transfer
2023-02-28,"4625321316",sign up,transfer
2023-02-23,"4611213580",sign up,transfer
2023-02-20,"4590843429",sign up,new
2023-02-20,"4603563098",sign up,new
2023-01-01,"4509341493",sign up,new
2023-01-02,"4511258933",sign up,new
2023-01-02,"4511325203",sign up,new
2023-01-03,"4513416471",sign up,new
2023-01-03,"4513616951",sign up,new
2023-01-04,"4514842469",sign up,new
2023-01-06,"4519527790",sign up,new
2023-01-06,"4519752618",sign up,new
2023-01-07,"4520107768",sign up,new
2023-01-07,"4521378907",sign up,new
2023-01-08,"4522907158",sign up,transfer
2023-01-08,"4523017786",sign up,new
2023-01-08,"4523086922",sign up,new
2023-01-08,"4523388661",sign up,new
2023-01-08,"4523442334",sign up,new
2023-01-08,"4523618614",sign up,new
2023-01-09,"4523861415",sign up,new
2023-01-10,"4526324717",sign up,new
2023-01-10,"4526636506",sign up,new
2023-01-11,"4528291208",sign up,new
2023-01-11,"4528450872",sign up,new
2023-01-12,"4366265828",sign up,new
2023-01-12,"4530232419",sign up,new
2023-01-12,"4530936047",sign up,transfer
2023-01-13,"4531198454",sign up,transfer
2023-01-14,"4534570570",sign up,new
2023-01-15,"4391249410",sign up,new
2023-01-15,"4536604636",sign up,new
2023-01-17,"4540350522",sign up,new
2023-01-17,"4540405200",sign up,new
2023-01-18,"4542028259",sign up,new
2023-01-19,"4543476466",sign up,new
2023-01-19,"4543788347",sign up,new
2023-01-19,"4543800017",sign up,new
2023-01-20,"4544988754",sign up,transfer
2023-01-21,"4547048859",sign up,new
2023-01-23,"4551573182",sign up,new
2023-01-23,"4551810585",sign up,new
2023-01-24,"4523086922",sign up,new
2023-01-24,"4553746665",sign up,new
2023-01-25,"4554516965",sign up,new
2023-01-25,"4554843814",sign up,new
2023-01-25,"4555634754",sign up,new
2023-01-26,"4556189726",sign up,new
2023-01-26,"4556256477",sign up,transfer
2023-01-26,"4557266207",sign up,new
2023-01-27,"4558711069",sign up,transfer
2023-01-27,"4558883710",sign up,new
2023-01-28,"4560998632",sign up,new
2023-01-29,"4562678267",sign up,new
2023-01-29,"4562922458",sign up,new
2023-01-30,"4562922458",sign up,new
2023-01-30,"4563700927",sign up,new
2023-01-30,"4564477294",sign up,new
2023-02-01,"4567866344",sign up,new
2023-02-02,"4379065209",terminate,terminate
2023-02-02,"4569127500",sign up,new
2023-02-02,"4569586713",sign up,new
2023-02-02,"4569938260",sign up,new
2023-02-03,"4570930609",sign up,new
2023-02-03,"4571727016",sign up,new
2023-02-04,"4574070946",sign up,transfer
2023-02-05,"4574242878",sign up,transfer
2023-02-05,"4574979578",sign up,new
2023-02-05,"4575050685",sign up,transfer
2023-02-05,"4575129203",sign up,new
2023-02-05,"4575507807",sign up,new
2023-02-05,"4575734938",sign up,new
2023-02-06,"4576673733",sign up,new
2023-02-08,"4581022047",sign up,new
2023-02-09,"4581490679",sign up,new
2023-02-09,"4582897239",sign up,new
2023-02-10,"4583978854",sign up,transfer
2023-02-10,"4584333754",sign up,new
2023-02-11,"4308550765",terminate,terminate
2023-02-12,"4588852464",sign up,new
2023-02-12,"4588890180",sign up,new
2023-02-13,"4589939491",sign up,new
2023-02-13,"4590727845",sign up,transfer
2023-02-13,"4590791120",sign up,transfer
2023-02-13,"4590839735",sign up,transfer
2023-02-13,"4590969302",sign up,transfer
2023-02-14,"4591484330",sign up,new
2023-02-14,"4591788642",sign up,transfer
2023-02-14,"4591792005",sign up,new
2023-02-14,"4592030682",sign up,transfer
2023-02-14,"4592231221",sign up,transfer
2023-02-15,"4593564007",sign up,new
2023-02-15,"4593894494",sign up,transfer
2023-02-15,"4594331219",sign up,new
2023-02-15,"4594365754",sign up,new
2023-02-16,"4595566964",sign up,new
2023-02-17,"4597730189",sign up,new
2023-02-17,"4597755924",sign up,new
2023-02-17,"4598348264",sign up,new
2023-02-17,"4598699794",sign up,transfer
2023-02-18,"4600245090",sign up,transfer
2023-02-18,"4600355549",sign up,new
2023-02-19,"4602543680",sign up,transfer
2023-02-19,"4602627022",sign up,new
2023-02-19,"4602862225",sign up,new
2023-02-21,"4605711550",sign up,new
2023-02-21,"4606632029",sign up,transfer
2023-02-22,"4607687659",sign up,transfer
2023-02-22,"4608235762",sign up,new
2023-02-24,"4611512793",sign up,transfer
2023-02-24,"4612838809",sign up,new
2023-02-25,"4611512793",sign up,transfer
2023-02-25,"4612838809",sign up,new
2023-02-26,"4616471447",sign up,new
2023-02-26,"4616702932",sign up,new
2023-02-26,"4617256675",sign up,new
2023-02-27,"4619733390",sign up,new
2023-02-28,"4620493237",sign up,new
2023-02-28,"4620673294",sign up,new
2023-02-28,"4620913987",sign up,new
2023-02-28,"4621522962",sign up,transfer
2023-02-28,"4623025378",sign up,new
2023-02-28,"4623703768",sign up,new
2023-02-28,"4623948086",sign up,transfer
2023-02-28,"4624675731",sign up,new
2023-02-28,"4625214006",sign up,new
2023-02-28,"4625275191",sign up,new
2023-02-28,"4625435577",sign up,transfer
2023-02-28,"4625742770",sign up,transfer
2023-02-20,"4604093754",sign up,new
2023-01-01,"4510210237",sign up,transfer
2023-01-01,"4510306309",sign up,transfer
2023-01-02,"4510835642",sign up,new
2023-01-02,"4511892208",sign up,new
2023-01-02,"4512104155",sign up,new
2023-01-03,"4513224916",sign up,new
2023-01-03,"4513788266",sign up,transfer
2023-01-03,"4514075145",sign up,new
2023-01-04,"4513788266",sign up,transfer
2023-01-04,"4514530162",sign up,new
2023-01-04,"4514653805",sign up,new
2023-01-04,"4514692395",sign up,new
2023-01-04,"4514839693",sign up,new
2023-01-04,"4515324879",sign up,new
2023-01-05,"4516377894",sign up,transfer
2023-01-05,"4517011582",sign up,new
2023-01-05,"4517028016",sign up,new
2023-01-06,"4518529017",sign up,new
2023-01-06,"4519595254",sign up,transfer
2023-01-07,"4521092786",sign up,new
2023-01-08,"4511892208",sign up,new
2023-01-08,"4522075963",sign up,new
2023-01-08,"4522349673",sign up,new
2023-01-09,"4523819021",sign up,new
2023-01-09,"4524383421",sign up,new
2023-01-09,"4524672700",sign up,new
2023-01-09,"4525321464",sign up,new
2023-01-10,"4526299595",sign up,new
2023-01-10,"4526425737",sign up,new
2023-01-10,"4526607076",sign up,new
2023-01-10,"4526891736",sign up,new
2023-01-11,"4527422992",sign up,new
2023-01-11,"4528631926",sign up,new
2023-01-11,"4528782354",sign up,transfer
2023-01-12,"4530490745",sign up,transfer
2023-01-13,"4531676347",sign up,new
2023-01-13,"4531831918",sign up,new
2023-01-14,"4533358988",sign up,new
2023-01-15,"4535736052",sign up,new
2023-01-15,"4536084052",sign up,new
2023-01-15,"4536594374",sign up,new
2023-01-15,"4536600668",sign up,new
2023-01-15,"4536696028",sign up,new
2023-01-16,"4538623838",sign up,new
2023-01-16,"4538657888",sign up,new
2023-01-17,"4464553457",terminate,terminate
2023-01-18,"4541551375",sign up,new
2023-01-18,"4542187752",sign up,new
2023-01-18,"4542210730",sign up,new
2023-01-19,"4543266904",sign up,transfer
2023-01-19,"4543892318",sign up,new
2023-01-20,"4544822490",sign up,new
2023-01-20,"4545611467",sign up,new
2023-01-21,"4546987128",sign up,new
2023-01-21,"4547819837",sign up,new
2023-01-23,"4550466994",sign up,new
2023-01-23,"4551170483",sign up,transfer
2023-01-23,"4551654495",sign up,new
2023-01-23,"4551782635",sign up,new
2023-01-25,"4554023957",sign up,transfer
2023-01-25,"4555169880",sign up,new
2023-01-26,"4557457488",sign up,transfer
2023-01-27,"4558874978",sign up,transfer
2023-01-28,"4560012954",sign up,transfer
2023-01-28,"4560057374",sign up,new
2023-01-28,"4560241092",sign up,new
2023-01-29,"4560241092",sign up,new
2023-02-01,"4567571842",sign up,new
2023-02-01,"4567635013",sign up,transfer
2023-02-01,"4567808505",sign up,new
2023-02-02,"4569893560",sign up,new
2023-02-03,"4566365913",sign up,new
2023-01-31,"4566094544",sign up,transfer
2023-01-31,"4566365913",sign up,new
2023-02-05,"4574497997",sign up,new
2023-02-07,"4578062281",sign up,transfer
2023-02-07,"4578592055",sign up,new
2023-02-07,"4578704712",sign up,new
2023-02-07,"4579340923",sign up,new
2023-02-08,"4580548040",sign up,new
2023-02-09,"4582508331",sign up,transfer
2023-02-09,"4582575744",sign up,new
2023-02-10,"4583637467",sign up,new
2023-02-11,"4253121276",sign up,new
2023-02-11,"4585749149",sign up,new
2023-02-11,"4586840509",sign up,new
2023-02-13,"4589472734",sign up,new
2023-02-13,"4589646314",sign up,transfer
2023-02-13,"4590288033",sign up,new
2023-02-13,"4590831581",sign up,transfer
2023-02-13,"4590953244",sign up,transfer
2023-02-13,"4591077034",sign up,transfer
2023-02-14,"4591225408",sign up,new
2023-02-14,"4591257473",sign up,transfer
2023-02-14,"4592226090",sign up,new
2023-02-14,"4592524125",sign up,new
2023-02-15,"4593469711",sign up,transfer
2023-02-16,"4595619707",sign up,new
2023-02-16,"4595991574",sign up,new
2023-02-16,"4596122011",sign up,new
2023-02-16,"4596928664",sign up,new
2023-02-17,"4597980140",sign up,new
2023-02-17,"4598126031",sign up,new
2023-02-18,"4599970580",sign up,new
2023-02-18,"4600758996",sign up,new
2023-02-18,"4600870644",sign up,transfer
2023-02-19,"4601869158",sign up,transfer
2023-02-19,"4602819059",sign up,new
2023-02-21,"4585749149",sign up,new
2023-02-21,"4605625029",sign up,transfer
2023-02-21,"4606160803",sign up,transfer
2023-02-21,"4606346001",sign up,new
2023-02-21,"4606473517",sign up,new
2023-02-22,"4608036049",sign up,new
2023-02-24,"4612964300",sign up,new
2023-02-25,"4614697986",sign up,new
2023-02-26,"4617465571",sign up,transfer
2023-02-27,"4619247160",sign up,new
2023-02-28,"4432839073",sign up,transfer
2023-02-28,"4620907096",sign up,transfer
2023-02-28,"4622681750",sign up,new
2023-02-23,"4610034672",sign up,new
2023-02-20,"4604209313",sign up,new
2023-02-20,"4605329069",sign up,new
2023-01-01,"4322128044",sign up,new
2023-01-01,"4509800946",sign up,transfer
2023-01-01,"4510078955",sign up,new
2023-01-02,"4511311531",sign up,new
2023-01-02,"4511343389",sign up,new
2023-01-02,"4511410427",sign up,transfer
2023-01-02,"4511864715",sign up,new
2023-01-02,"4512333858",sign up,new
2023-01-03,"4379448888",sign up,new
2023-01-03,"4511343389",sign up,new
2023-01-03,"4512831980",sign up,new
2023-01-04,"4514875605",sign up,new
2023-01-04,"4515969005",sign up,transfer
2023-01-05,"4516223005",sign up,new
2023-01-05,"4516377830",sign up,new
2023-01-05,"4517028483",sign up,new
2023-01-05,"4517169486",sign up,new
2023-01-06,"4518676411",sign up,new
2023-01-06,"4519442832",sign up,new
2023-01-07,"4520614700",sign up,new
2023-01-07,"4521067705",sign up,transfer
2023-01-08,"4522783817",sign up,new
2023-01-08,"4522837836",sign up,new
2023-01-08,"4523120539",sign up,new
2023-01-09,"4524092802",sign up,new
2023-01-09,"4524297493",sign up,new
2023-01-09,"4524418267",sign up,new
2023-01-09,"4524829525",sign up,new
2023-01-09,"4524861004",sign up,transfer
2023-01-09,"4525220955",sign up,new
2023-01-09,"4525302652",sign up,new
2023-01-11,"4334806531",sign up,new
2023-01-11,"4527839427",sign up,new
2023-01-11,"4528519438",sign up,new
2023-01-11,"4528997369",sign up,new
2023-01-11,"4529148903",sign up,transfer
2023-01-12,"4529222906",sign up,new
2023-01-14,"4533215656",sign up,transfer
2023-01-14,"4533690891",sign up,new
2023-01-15,"4535176027",sign up,new
2023-01-16,"4538188981",sign up,new
2023-01-16,"4538543267",sign up,new
2023-01-17,"4540280131",sign up,new
2023-01-18,"4541582844",sign up,new
2023-01-18,"4541807407",sign up,new
2023-01-19,"4370184652",terminate,terminate
2023-01-19,"4543448683",sign up,new
2023-01-19,"4544066502",sign up,new
2023-01-21,"4547894875",sign up,new
2023-01-22,"4547894875",sign up,new
2023-01-22,"4549547481",sign up,new
2023-01-27,"4559047513",sign up,new
2023-01-28,"4561155620",sign up,transfer
2023-01-29,"4562869395",sign up,new
2023-02-01,"4567982468",sign up,new
2023-02-02,"4481561045",terminate,terminate
2023-02-02,"4569131977",sign up,transfer
2023-02-03,"4571705443",sign up,new
2023-02-03,"4571720074",sign up,new
2023-01-31,"4565392377",sign up,new
2023-01-31,"4565759012",sign up,new
2023-02-04,"4565759012",sign up,new
2023-02-04,"4572859387",sign up,new
2023-02-04,"4573766764",sign up,new
2023-02-04,"4573804419",sign up,new
2023-02-04,"4573927419",sign up,new
2023-02-06,"4573927419",sign up,new
2023-02-06,"4576508598",sign up,transfer
2023-02-06,"4576930514",sign up,new
2023-02-07,"4578282084",sign up,transfer
2023-02-07,"4578650764",sign up,transfer
2023-02-08,"4580281319",sign up,new
2023-02-08,"4580321833",sign up,transfer
2023-02-09,"4582804903",sign up,new
2023-02-09,"4583108824",sign up,new
2023-02-10,"4583970784",sign up,new
2023-02-12,"4587262798",sign up,transfer
2023-02-12,"4588281880",sign up,new
2023-02-12,"4588332792",sign up,new
2023-02-13,"4589335579",sign up,new
2023-02-13,"4589440989",sign up,new
2023-02-13,"4589539473",sign up,transfer
2023-02-13,"4590361788",sign up,new
2023-02-13,"4590759766",sign up,transfer
2023-02-13,"4590782727",sign up,transfer
2023-02-13,"4591174063",sign up,transfer
2023-02-14,"4591174063",sign up,transfer
2023-02-14,"4591258487",sign up,new
2023-02-14,"4591603436",sign up,transfer
2023-02-14,"4592202629",sign up,new
2023-02-15,"4593486760",sign up,new
2023-02-15,"4593599064",sign up,new
2023-02-15,"4593666386",sign up,new
2023-02-15,"4593972857",sign up,new
2023-02-15,"4594165451",sign up,new
2023-02-16,"4595807416",sign up,new
2023-02-16,"4596121379",sign up,new
2023-02-17,"4285334023",terminate,terminate
2023-02-17,"4598983710",sign up,new
2023-02-18,"4600013149",sign up,transfer
2023-02-18,"4600070815",sign up,new
2023-02-18,"4600896634",sign up,transfer
2023-02-19,"4603133700",sign up,new
2023-02-21,"4368276428",sign up,new
2023-02-22,"4607475319",sign up,new
2023-02-22,"4608111824",sign up,transfer
2023-02-24,"4612670879",sign up,new
2023-02-25,"4362208639",terminate,terminate
2023-02-25,"4607475319",sign up,new
2023-02-25,"4615222423",sign up,new
2023-02-26,"4616118696",sign up,new
2023-02-26,"4617443711",sign up,new
2023-02-27,"4619247196",sign up,new
2023-02-28,"4621189847",sign up,new
2023-02-28,"4621826593",sign up,transfer
2023-02-28,"4612670879",sign up,new
2023-02-28,"4622010883",sign up,new
2023-02-28,"4622973408",sign up,transfer
2023-02-28,"4623223301",sign up,new
2023-02-28,"4623335155",sign up,new
2023-02-28,"4624631006",sign up,transfer
2023-02-28,"4625329051",sign up,new
2023-02-28,"4625842164",sign up,transfer
2023-02-23,"4610547414",sign up,new
2023-02-20,"4547894875",terminate,terminate
2023-02-20,"4604570639",sign up,new
2023-02-20,"4604819804",sign up,new
2023-01-01,"4509629471",sign up,new
2023-01-02,"4509629471",sign up,new
2023-01-02,"4510992049",sign up,new
2023-01-02,"4511631090",sign up,new
2023-01-03,"4513433798",sign up,new
2023-01-03,"4513549857",sign up,new
2023-01-04,"4515656867",sign up,transfer
2023-01-05,"4517757105",sign up,transfer
2023-01-06,"4518368025",sign up,new
2023-01-06,"4519164677",sign up,new
2023-01-07,"4521375616",sign up,new
2023-01-07,"4521450746",sign up,new
2023-01-07,"4521464845",sign up,transfer
2023-01-08,"4523547011",sign up,transfer
2023-01-09,"4388635973",sign up,new
2023-01-09,"4524300850",sign up,new
2023-01-09,"4525154760",sign up,new
2023-01-11,"4528382958",sign up,transfer
2023-01-11,"4528884910",sign up,new
2023-01-12,"4530269002",sign up,transfer
2023-01-12,"4530357324",sign up,new
2023-01-12,"4530469881",sign up,transfer
2023-01-14,"4528884910",sign up,new
2023-01-15,"4535838433",sign up,transfer
2023-01-15,"4536371189",sign up,new
2023-01-16,"4538728239",sign up,transfer
2023-01-17,"4539274383",sign up,new
2023-01-18,"4340202269",sign up,new
2023-01-18,"4541300501",sign up,new
2023-01-18,"4541922957",sign up,new
2023-01-18,"4542154359",sign up,new
2023-01-20,"4544781307",sign up,new
2023-01-20,"4544790492",sign up,transfer
2023-01-21,"4547164588",sign up,transfer
2023-01-21,"4547732280",sign up,new
2023-01-21,"4547973655",sign up,new
2023-01-23,"4551031314",sign up,new
2023-01-23,"4551441649",sign up,new
2023-01-24,"4552501897",sign up,new
2023-01-24,"4553005001",sign up,new
2023-01-25,"4555355146",sign up,new
2023-01-25,"4555571672",sign up,new
2023-01-26,"4535838433",terminate,terminate
2023-01-26,"4556795157",sign up,new
2023-01-27,"4558812962",sign up,new
2023-01-27,"4558877458",sign up,transfer
2023-01-28,"4561223696",sign up,new
2023-01-30,"4563970956",sign up,new
2023-01-30,"4564673609",sign up,new
2023-02-01,"4567693804",sign up,new
2023-02-01,"4568080600",sign up,new
2023-02-02,"4407375394",terminate,terminate
2023-02-02,"4544781307",sign up,new
2023-02-02,"4569053689",sign up,new
2023-02-02,"4569430742",sign up,transfer
2023-01-31,"4566690631",sign up,transfer
2023-02-04,"4251264377",terminate,terminate
2023-02-04,"4489608448",sign up,new
2023-02-05,"4574808116",sign up,transfer
2023-02-05,"4575076037",sign up,new
2023-02-05,"4575546633",sign up,new
2023-02-05,"4575559342",sign up,new
2023-02-05,"4575594769",sign up,transfer
2023-02-05,"4575694674",sign up,new
2023-02-06,"4576616220",sign up,new
2023-02-06,"4576872388",sign up,transfer
2023-02-07,"4569053689",sign up,new
2023-02-07,"4579326521",sign up,new
2023-02-08,"4581109205",sign up,transfer
2023-02-08,"4581420164",sign up,new
2023-02-09,"4581925459",sign up,transfer
2023-02-10,"4585118644",sign up,transfer
2023-02-11,"4254039823",terminate,terminate
2023-02-12,"4587941529",sign up,new
2023-02-13,"4590756801",sign up,transfer
2023-02-13,"4590968499",sign up,new
2023-02-13,"4591076701",sign up,new
2023-02-14,"4591206084",sign up,new
2023-02-14,"4591752601",sign up,transfer
2023-02-14,"4592153122",sign up,new
2023-02-14,"4592392985",sign up,new
2023-02-14,"4592716353",sign up,new
2023-02-15,"4593901819",sign up,new
2023-02-15,"4594578958",sign up,new
2023-02-16,"4596438955",sign up,transfer
2023-02-17,"4597469055",sign up,new
2023-02-17,"4598399670",sign up,new
2023-02-17,"4598956169",sign up,new
2023-02-18,"4599186399",sign up,new
2023-02-18,"4600259132",sign up,new
2023-02-21,"4574808116",terminate,terminate
2023-02-21,"4606386649",sign up,transfer
2023-02-21,"4606775602",sign up,new
2023-02-22,"4574808116",terminate,terminate
2023-02-22,"4607862089",sign up,transfer
2023-02-22,"4607933852",sign up,new
2023-02-22,"4608102169",sign up,new
2023-02-22,"4608588304",sign up,transfer
2023-02-22,"4608607224",sign up,new
2023-02-22,"4608660695",sign up,new
2023-02-24,"4612211765",sign up,new
2023-02-25,"4313844514",terminate,terminate
2023-02-25,"4614503909",sign up,new
2023-02-25,"4614510677",sign up,new
2023-02-26,"4617496088",sign up,transfer
2023-02-26,"4617669901",sign up,transfer
2023-02-27,"4618564852",sign up,new
2023-02-27,"4619019952",sign up,transfer
2023-02-27,"4619123868",sign up,new
2023-02-28,"4620539136",sign up,new
2023-02-28,"4620542746",sign up,new
2023-02-28,"4623321077",sign up,new
2023-02-28,"4625554444",sign up,new
2023-02-23,"4609401234",sign up,new
2023-02-23,"4610407659",sign up,new
2023-02-23,"4610741036",sign up,transfer
2023-02-23,"4610793806",sign up,transfer
2023-02-20,"4603564353",sign up,new
2023-02-20,"4604895851",sign up,new
2023-02-20,"4605040832",sign up,new
2023-01-01,"4509356908",sign up,new
2023-01-01,"4510012402",sign up,new
2023-01-01,"4510302830",sign up,new
2023-01-02,"4511842887",sign up,new
2023-01-03,"4512454293",sign up,new
2023-01-03,"4513264261",sign up,transfer
2023-01-04,"4514933887",sign up,new
2023-01-04,"4515245651",sign up,new
2023-01-04,"4515616640",sign up,new
2023-01-05,"4515970490",sign up,transfer
2023-01-05,"4516171164",sign up,new
2023-01-06,"4518259193",sign up,new
2023-01-06,"4519549998",sign up,new
2023-01-08,"4522265909",sign up,new
2023-01-08,"4522597976",sign up,new
2023-01-08,"4523015826",sign up,transfer
2023-01-08,"4523224224",sign up,new
2023-01-09,"4524866226",sign up,new
2023-01-10,"4527002389",sign up,new
2023-01-11,"4528104662",sign up,new
2023-01-11,"4528981483",sign up,new
2023-01-12,"4529604507",sign up,transfer
2023-01-12,"4530743132",sign up,new
2023-01-12,"4530830138",sign up,transfer
2023-01-12,"4530835753",sign up,transfer
2023-01-13,"4531387932",sign up,new
2023-01-14,"4533705958",sign up,new
2023-01-14,"4533706858",sign up,transfer
2023-01-14,"4534703726",sign up,new
2023-01-15,"4535549848",sign up,transfer
2023-01-15,"4536604097",sign up,new
2023-01-15,"4536604617",sign up,new
2023-01-18,"4541473972",sign up,new
2023-01-18,"4541693745",sign up,new
2023-01-18,"4542182416",sign up,new
2023-01-18,"4542226082",sign up,new
2023-01-20,"4544693825",sign up,new
2023-01-20,"4545172785",sign up,new
2023-01-20,"4545249939",sign up,transfer
2023-01-20,"4545765101",sign up,new
2023-01-21,"4547560880",sign up,new
2023-01-21,"4548189647",sign up,new
2023-01-22,"4549968954",sign up,new
2023-01-23,"4551216207",sign up,new
2023-01-24,"4552763208",sign up,new
2023-01-24,"4552763626",sign up,new
2023-01-25,"4555220915",sign up,new
2023-01-25,"4555308131",sign up,new
2023-01-26,"4556523156",sign up,new
2023-01-26,"4557050237",sign up,new
2023-01-28,"4559886309",sign up,transfer
2023-01-29,"4562735207",sign up,new
2023-01-29,"4562925157",sign up,new
2023-01-30,"4564404520",sign up,new
2023-02-01,"4567537560",sign up,new
2023-02-01,"4567942361",sign up,new
2023-02-02,"4569629234",sign up,new
2023-02-03,"4571820477",sign up,new
2023-02-03,"4571826864",sign up,transfer
2023-02-03,"4571844875",sign up,new
2023-02-03,"4571900805",sign up,new
2023-01-31,"4562925157",sign up,new
2023-01-31,"4565812631",sign up,new
2023-01-31,"4566652400",sign up,transfer
2023-02-04,"4572856757",sign up,new
2023-02-04,"4573153260",sign up,transfer
2023-02-04,"4573408247",sign up,new
2023-02-04,"4573918417",sign up,new
2023-02-05,"4571900805",sign up,new
2023-02-05,"4573918417",sign up,new
2023-02-05,"4575924862",sign up,new
2023-02-06,"4573408247",sign up,new
2023-02-06,"4577669633",sign up,transfer
