"REPORT_DATE","SERVICE_ID","SERVICE_NAME","SERVICE"
2023-02-21,"4360236172",plan 4,mobile
2023-02-21,"4446324827",plan 4,mobile
2023-02-21,"4547741360",plan 5,mobile
2023-02-21,"4606154859",plan 4,mobile
2023-02-22,"4260807944",plan 4,mobile
2023-02-22,"4271445491",plan 2,mobile
2023-02-22,"4282548418",plan 6,mobile
2023-02-22,"4492602206",plan 4,mobile
2023-02-22,"4492604485",plan 4,mobile
2023-02-22,"4492884930",plan 4,mobile
2023-02-24,"4363712427",plan 2,mobile
2023-02-24,"4495692613",plan 4,mobile
2023-02-24,"4552300470",plan 4,mobile
2023-02-25,"4315453200",plan 4,mobile
2023-02-25,"4335240280",plan 4,mobile
2023-02-25,"4452002569",plan 4,mobile
2023-02-25,"4498280462",plan 4,mobile
2023-02-25,"4614992176",plan 4,mobile
2023-02-26,"4253111079",plan 2,mobile
2023-02-26,"4557211770",plan 4,mobile
2023-02-27,"4558876203",plan 4,mobile
2023-02-27,"4619114633",plan 4,mobile
2023-02-28,"4418981730",plan 4,mobile
2023-02-28,"4621360643",plan 4,mobile
2023-02-28,"4334755088",plan 4,mobile
2023-02-28,"4504756799",plan 6,mobile
2023-02-28,"4411524307",plan 4,mobile
2023-02-28,"4413054972",plan 4,mobile
2023-02-28,"4506041658",plan 4,mobile
2023-02-28,"4507842140",plan 4,mobile
2023-02-28,"4564490859",plan 4,mobile
2023-02-28,"4625709713",plan 4,mobile
2023-02-23,"4311748172",plan 4,mobile
2023-02-23,"4313826959",plan 4,mobile
2023-02-23,"4401862724",plan 4,mobile
2023-02-20,"4489685577",plan 4,mobile
2023-02-20,"4545874967",plan 4,mobile
2023-01-01,"4509547445",plan 4,mobile
2023-01-01,"4510404962",plan 4,mobile
2023-01-02,"4255959623",plan 4,mobile
2023-01-02,"4263912865",plan 4,mobile
2023-01-03,"4464439426",plan 5,mobile
2023-01-03,"4464479827",plan 4,mobile
2023-01-03,"4512831468",plan 4,mobile
2023-01-04,"4256129088",plan 4,mobile
2023-01-04,"4514868258",plan 4,mobile
2023-01-05,"4344863649",plan 4,mobile
2023-01-06,"4250313868",plan 4,mobile
2023-01-06,"4277959637",plan 4,mobile
2023-01-07,"4278374755",plan 4,mobile
2023-01-07,"4322550277",plan 4,mobile
2023-01-07,"4332380555",plan 4,mobile
2023-01-07,"4346286909",plan 4,mobile
2023-01-07,"4346594973",plan 4,mobile
2023-01-07,"4423486648",plan 4,mobile
2023-01-08,"4266126676",plan 4,mobile
2023-01-08,"4266165657",plan 4,mobile
2023-01-08,"4347176147",plan 4,mobile
2023-01-08,"4471003405",plan 4,mobile
2023-01-08,"4471919274",plan 4,mobile
2023-01-08,"4522679337",plan 4,mobile
2023-01-09,"4256912046",plan 4,mobile
2023-01-09,"4265744147",plan 4,mobile
2023-01-09,"4525061225",plan 4,mobile
2023-01-10,"4429621765",plan 4,mobile
2023-01-10,"4475128266",plan 4,mobile
2023-01-10,"4526518544",plan 4,mobile
2023-01-10,"4526702809",plan 4,mobile
2023-01-10,"4526965787",plan 4,mobile
2023-01-11,"4323663975",plan 4,mobile
2023-01-11,"4431575707",plan 4,mobile
2023-01-12,"4267794865",plan 4,mobile
2023-01-12,"4323760800",plan 4,mobile
2023-01-12,"4350706672",plan 4,mobile
2023-01-12,"4477720231",plan 4,mobile
2023-01-13,"4252503148",plan 4,mobile
2023-01-15,"4253075334",plan 4,mobile
2023-01-15,"4292565620",plan 2,mobile
2023-01-15,"4535737606",plan 4,mobile
2023-01-16,"4253121572",plan 2,mobile
2023-01-16,"4253284257",plan 6,mobile
2023-01-16,"4309841148",plan 4,mobile
2023-01-16,"4538398550",plan 4,mobile
2023-01-17,"4253253557",plan 4,mobile
2023-01-17,"4292923313",plan 2,mobile
2023-01-17,"4310279631",plan 4,mobile
2023-01-17,"4490077797",plan 4,mobile
2023-01-18,"4258811880",plan 4,mobile
2023-01-18,"4323663975",plan 4,mobile
2023-01-18,"4542425182",plan 5,mobile
2023-01-19,"4323663975",plan 4,mobile
2023-01-19,"4395988393",plan 4,mobile
2023-01-19,"4443844392",plan 4,mobile
2023-01-20,"4260354547",plan 4,mobile
2023-01-20,"4445343875",plan 4,mobile
2023-01-21,"4312546291",plan 4,mobile
2023-01-21,"4332517776",plan 2,mobile
2023-01-21,"4491558412",plan 4,mobile
2023-01-22,"4333209869",plan 4,mobile
2023-01-23,"4550613058",plan 5,mobile
2023-01-25,"4253108963",plan 4,mobile
2023-01-26,"4273256715",plan 4,mobile
2023-01-26,"4454315177",plan 4,mobile
2023-01-26,"4500140105",plan 4,mobile
2023-01-27,"4336833970",plan 4,mobile
2023-01-28,"4337876983",plan 2,mobile
2023-01-28,"4454110494",plan 4,mobile
2023-01-28,"4503317595",plan 4,mobile
2023-01-29,"4286014375",plan 2,mobile
2023-01-29,"4336300785",plan 6,mobile
2023-01-29,"4406396889",plan 4,mobile
2023-01-29,"4458397444",plan 4,mobile
2023-01-29,"4562260337",plan 5,mobile
2023-01-29,"4562816492",plan 4,mobile
2023-01-30,"4339462449",plan 4,mobile
2023-01-30,"4413493481",plan 4,mobile
2023-01-30,"4459139250",plan 4,mobile
2023-01-30,"4506254309",plan 4,mobile
2023-01-30,"4564278665",plan 6,mobile
2023-02-01,"4509547445",plan 4,mobile
2023-02-01,"4567087932",plan 4,mobile
2023-02-02,"4255959623",plan 4,mobile
2023-02-02,"4263912865",plan 4,mobile
2023-02-02,"4568915716",plan 4,mobile
2023-02-03,"4395988393",plan 4,mobile
2023-02-03,"4512831468",plan 4,mobile
2023-02-03,"4571872023",plan 4,mobile
2023-02-03,"4571970051",plan 5,mobile
2023-01-31,"4508451912",plan 4,mobile
2023-02-04,"4464439426",plan 5,mobile
2023-02-04,"4514868258",plan 4,mobile
2023-02-05,"4344863649",plan 4,mobile
2023-02-05,"4464479827",plan 4,mobile
2023-02-06,"4250313868",plan 4,mobile
2023-02-06,"4277959637",plan 4,mobile
2023-02-07,"4278374755",plan 4,mobile
2023-02-07,"4322550277",plan 4,mobile
2023-02-07,"4346286909",plan 4,mobile
2023-02-07,"4346594973",plan 4,mobile
2023-02-07,"4423486648",plan 4,mobile
2023-02-08,"4266165657",plan 4,mobile
2023-02-08,"4347176147",plan 4,mobile
2023-02-08,"4471003405",plan 4,mobile
2023-02-08,"4522679337",plan 4,mobile
2023-02-08,"4579879629",plan 4,mobile
2023-02-08,"4580088904",plan 4,mobile
2023-02-09,"4256912046",plan 4,mobile
2023-02-09,"4265744147",plan 4,mobile
2023-02-09,"4471919274",plan 4,mobile
2023-02-09,"4525061225",plan 4,mobile
2023-02-10,"4429621765",plan 4,mobile
2023-02-10,"4526518544",plan 4,mobile
2023-02-10,"4526702809",plan 4,mobile
2023-02-10,"4526965787",plan 4,mobile
2023-02-11,"4431575707",plan 4,mobile
2023-02-11,"4475128266",plan 4,mobile
2023-02-11,"4585764954",plan 4,mobile
2023-02-11,"4586016569",plan 4,mobile
2023-02-12,"4267794865",plan 4,mobile
2023-02-12,"4350706672",plan 4,mobile
2023-02-13,"4252503148",plan 4,mobile
2023-02-13,"4323760800",plan 4,mobile
2023-02-13,"4477720231",plan 4,mobile
2023-02-13,"4589870489",plan 4,mobile
2023-02-13,"4591055324",plan 4,mobile
2023-02-15,"4253075334",plan 4,mobile
2023-02-15,"4292565620",plan 2,mobile
2023-02-15,"4535737606",plan 4,mobile
2023-02-16,"4253121572",plan 2,mobile
2023-02-16,"4253284257",plan 6,mobile
2023-02-16,"4309841148",plan 4,mobile
2023-02-16,"4596182266",plan 5,mobile
2023-02-17,"4253253557",plan 4,mobile
2023-02-17,"4292923313",plan 2,mobile
2023-02-17,"4310279631",plan 4,mobile
2023-02-18,"4258811880",plan 4,mobile
2023-02-18,"4542425182",plan 5,mobile
2023-02-19,"4443844392",plan 4,mobile
2023-02-19,"4602346021",plan 5,mobile
2023-02-21,"4312546291",plan 4,mobile
2023-02-21,"4332517776",plan 2,mobile
2023-02-21,"4491558412",plan 4,mobile
2023-02-22,"4333209869",plan 4,mobile
2023-02-24,"4612541539",plan 4,mobile
2023-02-24,"4612683186",plan 4,mobile
2023-02-26,"4253108963",plan 4,mobile
2023-02-26,"4273256715",plan 4,mobile
2023-02-26,"4454315177",plan 4,mobile
2023-02-26,"4500140105",plan 4,mobile
2023-02-26,"4615815373",plan 4,mobile
2023-02-26,"4615880502",plan 4,mobile
2023-02-27,"4336833970",plan 4,mobile
2023-02-27,"4562816492",plan 4,mobile
2023-02-27,"4585764954",plan 4,mobile
2023-02-27,"4619760953",plan 4,mobile
2023-02-28,"4337876983",plan 2,mobile
2023-02-28,"4454110494",plan 4,mobile
2023-02-28,"4503317595",plan 4,mobile
2023-02-28,"4286014375",plan 2,mobile
2023-02-28,"4406396889",plan 4,mobile
2023-02-28,"4458397444",plan 4,mobile
2023-02-28,"4562260337",plan 5,mobile
2023-02-28,"4339462449",plan 4,mobile
2023-02-28,"4413493481",plan 4,mobile
2023-02-28,"4459139250",plan 4,mobile
2023-02-28,"4506254309",plan 4,mobile
2023-02-28,"4564278665",plan 6,mobile
2023-02-23,"4550613058",plan 5,mobile
2023-02-23,"4609894669",plan 4,mobile
2023-02-20,"4260354547",plan 4,mobile
2023-02-20,"4445343875",plan 4,mobile
2023-01-01,"4300540584",plan 2,mobile
2023-01-02,"4340397576",plan 4,mobile
2023-01-02,"4341149520",plan 4,mobile
2023-01-02,"4369808762",plan 4,mobile
2023-01-02,"4416202616",plan 4,mobile
2023-01-02,"4512351027",plan 4,mobile
2023-01-03,"4373992554",plan 4,mobile
2023-01-03,"4374057676",plan 4,mobile
2023-01-03,"4463503258",plan 4,mobile
2023-01-03,"4513028603",plan 4,mobile
2023-01-03,"4513319440",plan 4,mobile
2023-01-03,"4513946471",plan 4,mobile
2023-01-04,"4339680367",plan 4,mobile
2023-01-04,"4418990561",plan 4,mobile
2023-01-04,"4513946471",plan 4,mobile
2023-01-05,"4419209097",plan 4,mobile
2023-01-05,"4420969955",plan 4,mobile
2023-01-05,"4517097163",plan 4,mobile
2023-01-06,"4322195585",plan 4,mobile
2023-01-06,"4422843933",plan 4,mobile
2023-01-06,"4518505584",plan 4,mobile
2023-01-07,"4378594094",plan 2,mobile
2023-01-07,"4424969688",plan 4,mobile
2023-01-08,"4345407933",plan 4,mobile
2023-01-08,"4377982681",plan 4,mobile
2023-01-08,"4471905331",plan 4,mobile
2023-01-09,"4257401293",plan 4,mobile
2023-01-10,"4289420720",plan 2,mobile
2023-01-10,"4475079781",plan 4,mobile
2023-01-10,"4525664530",plan 4,mobile
2023-01-11,"4325233487",plan 4,mobile
2023-01-11,"4475972704",plan 4,mobile
2023-01-12,"4477946891",plan 4,mobile
2023-01-13,"4279714626",plan 4,mobile
2023-01-13,"4433973319",plan 4,mobile
2023-01-13,"4479416929",plan 4,mobile
2023-01-14,"4351573766",plan 4,mobile
2023-01-14,"4436411020",plan 4,mobile
2023-01-15,"4328419955",plan 4,mobile
2023-01-15,"4352061328",plan 4,mobile
2023-01-15,"4536150249",plan 4,mobile
2023-01-16,"4391422240",plan 4,mobile
2023-01-16,"4391796030",plan 4,mobile
2023-01-16,"4437656675",plan 4,mobile
2023-01-16,"4439161024",plan 4,mobile
2023-01-16,"4537457853",plan 4,mobile
2023-01-17,"4253356243",plan 6,mobile
2023-01-17,"4268729902",plan 4,mobile
2023-01-17,"4392449589",plan 4,mobile
2023-01-17,"4485125446",plan 4,mobile
2023-01-18,"4253486800",plan 4,mobile
2023-01-18,"4355484409",plan 4,mobile
2023-01-18,"4393855277",plan 4,mobile
2023-01-18,"4394283274",plan 4,mobile
2023-01-18,"4541983815",plan 4,mobile
2023-01-19,"4396129660",plan 4,mobile
2023-01-19,"4488152659",plan 4,mobile
